Данные_FuelStatistic_Номер;Text2;Text10;Text6;Text8;Text_IS_MOTO_PRESENT;Text18;Text_STARTTIME;Text_STOPTIME;Text_DURATION;Text_DURATION_FULL;Text_WORKTIME_DURATION;Text_TOTAL_DISTANCE
1;Грузовые;ЗИЛ шмиль;ю 652 юю;Курьер мольер;да;01.08.2013;;;;;13:35:04;405,55
2;;;;;;02.08.2013;;;;;23:59:30;538,95
3;;;;;;03.08.2013;;;;;23:56:45;971,19
4;;;;;;04.08.2013;;;;;23:54:15;970,2
5;;;;;;05.08.2013;;;;;23:59:30;1217,42
6;;;;;;06.08.2013;;;;;23:55:00;821,19
7;;;;;;07.08.2013;;;;;21:14:03;676,13
8;;;;;;08.08.2013;;;;;21:25:33;614,87
9;;;;;;09.08.2013;;;;;23:55:09;498,17
10;;;;;;10.08.2013;;;;;23:59:30;1097,91
11;;;;;;11.08.2013;;;;;21:30:45;681,8
12;;;;;;12.08.2013;;;;;22:52:15;1115,76
13;;;;;;13.08.2013;;;;;23:54:37;1122,18
14;;;;;;14.08.2013;;;;;23:59:20;933,7
15;;;;;;15.08.2013;;;;;23:59:30;973,63
16;;;;;;16.08.2013;;;;;22:01:00;593,83
17;;;;;;17.08.2013;;;;;9:21:30;370,75
18;;;;;;18.08.2013;;;;;15:19:45;843,28
19;;;;;;19.08.2013;;;;;19:11:07;931,14
20;;;;;;20.08.2013;;;;;21:47:15;877,35
21;;;;;;21.08.2013;;;;;23:59:30;1166,81
22;;;;;;22.08.2013;;;;;19:58:09;912,24
23;;;;;;23.08.2013;;;;;23:59:26;493,74
24;;;;;;24.08.2013;;;;;23:50:00;994,14
25;;;;;;25.08.2013;;;;;22:16:03;455,32
26;;;;;;26.08.2013;;;;;23:49:31;410,15
27;;;;;;27.08.2013;;;;;23:52:15;1015,61
28;;;;;;28.08.2013;;;;;23:59:30;1047,65
29;;;;;;29.08.2013;;;;;22:52:17;870,43
30;;;;;;30.08.2013;;;;;23:05:45;914,54
31;;;;;;31.08.2013;;;;;23:16:30;1050,47
32;;Камаз трололо );д 555 дд;Мусоровоз;;01.08.2013;;;;;13:13:59;165,65
33;;;;;;02.08.2013;;;;;23:56:25;126,44
34;;;;;;03.08.2013;;;;;23:55:23;321,55
35;;;;;;04.08.2013;;;;;23:55:50;319,65
36;;;;;;05.08.2013;;;;;23:29:55;325,27
37;;;;;;06.08.2013;;;;;23:55:35;316,71
38;;;;;;07.08.2013;;;;;23:57:22;296,67
39;;;;;;08.08.2013;;;;;23:59:15;308,48
40;;;;;;09.08.2013;;;;;23:59:47;311,65
41;Грузовые;Камаз трололо );д 555 дд;Мусоровоз;да;10.08.2013;;;;;23:57:10;325,1
42;;;;;;11.08.2013;;;;;23:14:12;318
43;;;;;;12.08.2013;;;;;23:27:13;308,91
44;;;;;;13.08.2013;;;;;23:39:16;313,53
45;;;;;;14.08.2013;;;;;23:46:43;266,73
46;;;;;;15.08.2013;;;;;23:47:04;324,67
47;;;;;;16.08.2013;;;;;23:14:12;317,99
48;;;;;;17.08.2013;;;;;23:27:13;308,94
49;;;;;;18.08.2013;;;;;23:50:14;313,69
50;;;;;;19.08.2013;;;;;23:59:06;296,78
51;;;;;;20.08.2013;;;;;23:59:00;264,66
52;;;;;;21.08.2013;;;;;23:57:25;319,35
53;;;;;;22.08.2013;;;;;23:58:26;328,33
54;;;;;;23.08.2013;;;;;23:26:57;124,31
55;;;;;;24.08.2013;;;;;23:55:58;322,48
56;;;;;;25.08.2013;;;;;23:59:10;319,96
57;;;;;;26.08.2013;;;;;23:45:20;325,94
58;;;;;;27.08.2013;;;;;23:36:30;312,78
59;;;;;;28.08.2013;;;;;23:45:25;282,29
60;;;;;;29.08.2013;;;;;23:55:51;323,08
61;;;;;;30.08.2013;;;;;23:54:52;244,98
62;;;;;;31.08.2013;;;;;23:59:31;300,94
63;Легковые;Газель ы 012 ыы ы 012 ыы и ещё много букаввввв;ы 012 ыы и ещё много букаввввв;Газель - Мазель;;01.08.2013;;;;;;0
64;;;;;;02.08.2013;;;;;0:00:02;144,23
65;;;;;;03.08.2013;;;;;20:39:37;589,24
66;;;;;;04.08.2013;;;;;23:57:51;614,9
67;;;;;;05.08.2013;;;;;23:58:14;360,59
68;;;;;;06.08.2013;;;;;9:23:53;117,04
69;;;;;;07.08.2013;;;;;;0
70;;;;;;08.08.2013;;;;;11:26:30;185,29
71;;;;;;09.08.2013;;;;;23:57:57;766,74
72;;;;;;10.08.2013;;;;;23:58:30;805,58
73;;;;;;11.08.2013;;;;;2:00:30;82,68
74;;;;;;12.08.2013;;;;;23:52:45;347,63
75;;;;;;13.08.2013;;;;;10:12:22;406,59
76;;;;;;14.08.2013;;;;;23:19:06;816,89
77;;;;;;15.08.2013;;;;;23:58:30;767,23
78;;;;;;16.08.2013;;;;;19:14:30;451,86
79;;;;;;17.08.2013;;;;;22:32:45;567,66
80;;;;;;18.08.2013;;;;;21:34:30;353,88
81;;;;;;19.08.2013;;;;;23:12:09;667,18
82;;;;;;20.08.2013;;;;;13:52:13;437,41
83;;;;;;21.08.2013;;;;;21:00:15;1028,29
84;;;;;;22.08.2013;;;;;9:39:45;228,56
85;;;;;;23.08.2013;;;;;5:31:21;491,34
86;;;;;;24.08.2013;;;;;17:34:15;831,81
87;Легковые;Газель ы 012 ыы ы 012 ыы и ещё много букаввввв;ы 012 ыы и ещё много букаввввв;Газель - Мазель;да;25.08.2013;;;;;20:21:28;561,95
88;;;;;;26.08.2013;;;;;23:28:44;694,94
89;;;;;;27.08.2013;;;;;14:59:10;510,29
90;;;;;;28.08.2013;;;;;;0
91;;;;;;29.08.2013;;;;;17:02:54;470,62
92;;;;;;30.08.2013;;;;;0:55:04;28,48
93;;;;;;31.08.2013;;;;;;0
94;;Лада й 963 йййцйц546;й 963 йй;Лада Р 932 ВС 23 rus;;01.08.2013;;;;;12:24:32;304,35
95;;;;;;02.08.2013;;;;;19:02:52;146,6
96;;;;;;03.08.2013;;;;;22:22:34;697,94
97;;;;;;04.08.2013;;;;;20:55:22;797,51
98;;;;;;05.08.2013;;;;;21:08:23;712,49
99;;;;;;06.08.2013;;;;;23:48:14;830,76
100;;;;;;07.08.2013;;;;;23:33:06;770,66
101;;;;;;08.08.2013;;;;;23:55:33;650,56
102;;;;;;09.08.2013;;;;;23:59:29;529,56
103;;;;;;10.08.2013;;;;;23:59:28;817,05
104;;;;;;11.08.2013;;;;;23:59:22;712,49
105;;;;;;12.08.2013;;;;;23:59:38;794,87
106;;;;;;13.08.2013;;;;;23:59:30;865,37
107;;;;;;14.08.2013;;;;;23:59:32;710,83
108;;;;;;15.08.2013;;;;;23:59:33;752,22
109;;;;;;16.08.2013;;;;;23:59:30;449,38
110;;;;;;17.08.2013;;;;;23:56:49;803,91
111;;;;;;18.08.2013;;;;;23:45:02;732,53
112;;;;;;19.08.2013;;;;;23:59:30;732,55
113;;;;;;20.08.2013;;;;;23:59:35;806,91
114;;;;;;21.08.2013;;;;;23:59:28;696,75
115;;;;;;22.08.2013;;;;;23:59:28;872
116;;;;;;23.08.2013;;;;;23:52:26;450,26
117;;;;;;24.08.2013;;;;;22:54:54;709,61
118;;;;;;25.08.2013;;;;;23:52:32;721,57
119;;;;;;26.08.2013;;;;;23:59:24;777,37
120;;;;;;27.08.2013;;;;;23:32:07;837,04
121;;;;;;28.08.2013;;;;;23:59:33;674,45
122;;;;;;29.08.2013;;;;;22:17:26;870,08
123;;;;;;30.08.2013;;;;;23:34:53;575,18
124;;;;;;31.08.2013;;;;;20:17:28;687,25
